date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:49	51137/51137	---M--	200	added ('OK')	image/jpeg	etag:%22c78e3f7bcbf7d21:0%22	http://www.st-dongxing.com/Uploadfile/proImg/month_20146/20146317564915469.jpg	www.st-dongxing.com/Uploadfile/proImg/month_20146/20146317564915469.jpg	(from http://www.st-dongxing.com/honor.asp)
09:48:50	6037/6037	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2006:48:45%20GMT	http://www.st-dongxing.com/product.asp?ID=128	www.st-dongxing.com/producte5f4.html	(from http://www.st-dongxing.com/products_d.asp?ClassID=417)
09:48:52	29845/29845	---M--	200	added ('OK')	image/jpeg	etag:%22d0ce2137dd0d31:0%22	http://www.st-dongxing.com/Uploadfile/proImg/month_20184/201841011361413839.jpg	www.st-dongxing.com/Uploadfile/proImg/month_20184/201841011361413839.jpg	(from http://www.st-dongxing.com/honor.asp)
09:48:54	6500/6500	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2006:48:48%20GMT	http://www.st-dongxing.com/products_d.asp?page=0&ClassID=417&Cy=0&Keytitle=	www.st-dongxing.com/products_d1ab3.html	(from http://www.st-dongxing.com/products_d.asp?ClassID=417)
09:48:56	6500/6500	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2006:48:50%20GMT	http://www.st-dongxing.com/products_d.asp?page=&ClassID=417&Keytitle=	www.st-dongxing.com/products_da487.html	(from http://www.st-dongxing.com/products_d.asp?ClassID=417)
09:48:58	6500/6500	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2006:48:52%20GMT	http://www.st-dongxing.com/products_d.asp?page=1&ClassID=417&Cy=0&Keytitle=	www.st-dongxing.com/products_d74a6.html	(from http://www.st-dongxing.com/products_d.asp?ClassID=417)
09:49:10	144527/144527	---M--	200	added ('OK')	image/jpeg	etag:%22e2581a57dd0d31:0%22	http://www.st-dongxing.com/Uploadfile/proImg/month_20184/201841011354921007.jpg	www.st-dongxing.com/Uploadfile/proImg/month_20184/201841011354921007.jpg	(from http://www.st-dongxing.com/honor.asp)
09:49:14	110611/110611	---M--	200	added ('OK')	image/jpeg	etag:%22fac8a5ecccf7d21:0%22	http://www.st-dongxing.com/Uploadfile/proImg/month_20163/2016351084859694.jpg	www.st-dongxing.com/Uploadfile/proImg/month_20163/2016351084859694.jpg	(from http://www.st-dongxing.com/products_d.asp?ClassID=417)
09:49:24	119529/119529	---M--	200	added ('OK')	image/jpeg	etag:%22c7d99f80c6f7d21:0%22	http://www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128110136253625.jpg	www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128110136253625.jpg	(from http://www.st-dongxing.com/news_s.asp?ID=635)
09:49:32	150482/150482	---M--	200	added ('OK')	image/jpeg	etag:%2250a51485c6f7d21:0%22	http://www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128111449014901.jpg	www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128111449014901.jpg	(from http://www.st-dongxing.com/news_s.asp?ID=635)
09:49:45	169128/169128	---M--	200	added ('OK')	image/jpeg	etag:%22c57e08ac6f7d21:0%22	http://www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128111789438943.jpg	www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128111789438943.jpg	(from http://www.st-dongxing.com/news_s.asp?ID=635)
09:49:52	192395/192395	---M--	200	added ('OK')	image/jpeg	etag:%221f813b8ec6f7d21:0%22	http://www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128114670157015.jpg	www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128114670157015.jpg	(from http://www.st-dongxing.com/news_s.asp?ID=635)
09:49:58	163171/163171	---M--	200	added ('OK')	image/jpeg	etag:%225ac7a693c6f7d21:0%22	http://www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128114712271227.jpg	www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128114712271227.jpg	(from http://www.st-dongxing.com/news_s.asp?ID=635)
09:50:06	172644/172644	---M--	200	added ('OK')	image/jpeg	etag:%2243b4799c6f7d21:0%22	http://www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128114727582758.jpg	www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128114727582758.jpg	(from http://www.st-dongxing.com/news_s.asp?ID=635)
09:50:18	172910/172910	---M--	200	added ('OK')	image/jpeg	etag:%224229a49ec6f7d21:0%22	http://www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128114763156315.jpg	www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128114763156315.jpg	(from http://www.st-dongxing.com/news_s.asp?ID=635)
09:50:19	4965/4965	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2006:50:14%20GMT	http://www.st-dongxing.com/news_s.asp?ID=626	www.st-dongxing.com/news_s9c83.html	(from http://www.st-dongxing.com/news.asp?page=2&ClassID=78&Keytitle=)
09:50:20	6966/6966	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2006:50:14%20GMT	http://www.st-dongxing.com/news.asp?page=1&ClassID=78&Keytitle=	www.st-dongxing.com/newsaca1.html	(from http://www.st-dongxing.com/news.asp?page=2&ClassID=78&Keytitle=)
09:50:21	5485/5485	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2006:50:16%20GMT	http://www.st-dongxing.com/product.asp?ID=93	www.st-dongxing.com/productaf25.html	(from http://www.st-dongxing.com/products_d.asp?ClassID=401)
09:50:24	155884/155884	---M--	200	added ('OK')	image/jpeg	etag:%22b5f94a3c6f7d21:0%22	http://www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128114823782378.jpg	www.st-dongxing.com/Uploadfile/newsImg/month_201511/20151128114823782378.jpg	(from http://www.st-dongxing.com/news_s.asp?ID=635)
